Date,Forecast
2022-07-17,
2022-07-17,
2022-07-17,
2022-07-17,
2022-07-17,
2022-07-17,
2022-07-17,
2022-07-17,
2022-07-17,
2022-07-17,
2022-07-17,
2022-07-17,
2022-07-17,
2022-07-17,
2022-07-18,
2022-07-18,
2022-07-18,
2022-07-18,
2022-07-18,
2022-07-18,
2022-07-18,
2022-07-18,
2022-07-18,
2022-07-18,
2022-07-18,
2022-07-18,
2022-07-18,
2022-07-19,
2022-07-19,
2022-07-19,
2022-07-19,
2022-07-19,
2022-07-19,
2022-07-19,
2022-07-19,
2022-07-19,
2022-07-19,
2022-07-19,
2022-07-19,
2022-07-19,
2022-07-19,
2022-07-19,
2022-07-20,
2022-07-20,
2022-07-20,
2022-07-20,
2022-07-20,
2022-07-20,
2022-07-20,
2022-07-20,
2022-07-20,
2022-07-20,
2022-07-21,
2022-07-21,
2022-07-21,
2022-07-21,
2022-07-21,
2022-07-21,
2022-07-21,
2022-07-21,
2022-07-21,
2022-07-21,
2022-07-21,
2022-07-22,
2022-07-22,
2022-07-22,
2022-07-22,
2022-07-22,
2022-07-22,
2022-07-22,
2022-07-22,
2022-07-22,
2022-07-22,
2022-07-22,
2022-07-22,
2022-07-23,
2022-07-23,
2022-07-23,
2022-07-23,
2022-07-23,
2022-07-23,
2022-07-23,
2022-07-23,
2022-07-23,
2022-07-23,
2022-07-23,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-25,
2022-07-25,
2022-07-25,
2022-07-25,
2022-07-25,
2022-07-25,
2022-07-25,
2022-07-25,
2022-07-25,
2022-07-25,
2022-07-25,
2022-07-25,
2022-07-26,
2022-07-26,
2022-07-26,
2022-07-26,
2022-07-26,
2022-07-26,
2022-07-26,
2022-07-26,
2022-07-26,
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-28,
2022-07-28,
2022-07-28,
2022-07-28,
2022-07-28,
2022-07-28,
2022-07-28,
2022-07-28,
2022-07-28,
2022-07-28,
2022-07-28,
2022-07-28,
2022-07-28,
2022-07-28,
2022-07-29,
2022-07-29,
2022-07-29,
2022-07-29,
2022-07-29,
2022-07-29,
2022-07-29,
2022-07-29,
2022-07-29,
2022-07-29,
2022-07-29,
2022-07-29,
2022-07-29,
2022-07-30,
2022-07-30,
2022-07-30,
2022-07-30,
2022-07-30,
2022-07-30,
2022-07-30,
2022-07-30,
2022-07-30,
2022-07-30,
2022-07-30,
2022-07-30,
2022-07-30,
2022-07-31,
2022-07-31,
2022-07-31,
2022-07-31,
2022-07-31,
2022-07-31,
2022-07-31,
2022-07-31,
2022-07-31,
2022-07-31,
2022-07-31,
2022-07-31,
2022-07-31,
2022-07-31,
2022-08-01,
2022-08-01,
2022-08-01,
2022-08-01,
2022-08-01,
2022-08-01,
2022-08-01,
2022-08-01,
2022-08-01,
2022-08-01,
2022-08-01,
2022-08-01,
2022-08-01,
2022-08-02,
2022-08-02,
2022-08-02,
2022-08-02,
2022-08-02,
2022-08-02,
2022-08-02,
2022-08-02,
2022-08-02,
2022-08-02,
2022-08-02,
2022-08-02,
2022-08-02,
2022-08-03,
2022-08-03,
2022-08-03,
2022-08-03,
2022-08-03,
2022-08-03,
2022-08-03,
2022-08-03,
2022-08-03,
2022-08-03,
2022-08-03,
2022-08-03,
2022-08-03,
2022-08-03,
2022-08-03,
2022-08-04,
2022-08-04,
2022-08-04,
2022-08-04,
2022-08-04,
2022-08-04,
2022-08-04,
2022-08-04,
2022-08-04,
2022-08-04,
2022-08-04,
2022-08-04,
2022-08-04,
2022-08-04,
2022-08-05,
2022-08-05,
2022-08-05,
2022-08-05,
2022-08-05,
2022-08-05,
2022-08-05,
2022-08-05,
2022-08-05,
2022-08-05,
2022-08-05,
2022-08-05,
2022-08-05,
2022-08-05,
2022-08-05,
2022-08-06,
2022-08-06,
2022-08-06,
2022-08-06,
2022-08-06,
2022-08-06,
2022-08-06,
2022-08-06,
2022-08-06,
2022-08-06,
2022-08-06,
2022-08-06,
2022-08-06,
2022-08-06,
2022-08-06,
2022-08-06,
2022-08-06,
2022-08-07,
2022-08-07,
2022-08-07,
2022-08-07,
2022-08-07,
2022-08-07,
2022-08-07,
2022-08-07,
2022-08-07,
2022-08-07,
2022-08-07,
2022-08-07,
2022-08-07,
2022-08-07,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-09,
2022-08-09,
2022-08-09,
2022-08-09,
2022-08-09,
2022-08-09,
2022-08-09,
2022-08-09,
2022-08-09,
2022-08-09,
2022-08-09,
2022-08-09,
2022-08-09,
2022-08-09,
2022-08-09,
2022-08-09,
2022-08-10,
2022-08-10,
2022-08-10,
2022-08-10,
2022-08-10,
2022-08-10,
2022-08-10,
2022-08-10,
2022-08-10,
2022-08-10,
2022-08-10,
2022-08-10,
2022-08-10,
2022-08-10,
2022-08-10,
2022-08-11,
2022-08-11,
2022-08-11,
2022-08-11,
2022-08-11,
2022-08-11,
2022-08-11,
2022-08-11,
2022-08-11,
2022-08-11,
2022-08-11,
2022-08-11,
2022-08-11,
2022-08-12,
2022-08-12,
2022-08-12,
2022-08-12,
2022-08-12,
2022-08-12,
2022-08-12,
2022-08-12,
2022-08-12,
2022-08-12,
2022-08-12,
2022-08-12,
2022-08-12,
2022-08-12,
2022-08-12,
2022-08-13,
2022-08-13,
2022-08-13,
2022-08-13,
2022-08-13,
2022-08-13,
2022-08-13,
2022-08-13,
2022-08-13,
2022-08-13,
2022-08-13,
2022-08-13,
2022-08-13,
2022-08-13,
2022-08-13,
2022-08-13,
2022-08-13,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-15,
2022-08-15,
2022-08-15,
2022-08-15,
2022-08-15,
2022-08-15,
2022-08-15,
2022-08-15,
2022-08-15,
2022-08-15,
2022-08-15,
2022-08-15,
2022-08-15,
2022-08-15,
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-17,
2022-08-17,
2022-08-17,
2022-08-17,
2022-08-17,
2022-08-17,
2022-08-17,
2022-08-17,
2022-08-17,
2022-08-17,
2022-08-17,
2022-08-17,
2022-08-17,
2022-08-17,
2022-08-17,
2022-08-18,
2022-08-18,
2022-08-18,
2022-08-18,
2022-08-18,
2022-08-18,
2022-08-18,
2022-08-18,
2022-08-18,
2022-08-18,
2022-08-18,
2022-08-18,
2022-08-18,
2022-08-18,
2022-08-19,
2022-08-19,
2022-08-19,
2022-08-19,
2022-08-19,
2022-08-19,
2022-08-19,
2022-08-19,
2022-08-19,
2022-08-19,
2022-08-19,
2022-08-19,
2022-08-19,
2022-08-19,
2022-08-19,
2022-08-20,
2022-08-20,
2022-08-20,
2022-08-20,
2022-08-20,
2022-08-20,
2022-08-20,
2022-08-20,
2022-08-20,
2022-08-20,
2022-08-20,
2022-08-21,
2022-08-21,
2022-08-21,
2022-08-21,
2022-08-21,
2022-08-21,
2022-08-21,
2022-08-21,
2022-08-21,
2022-08-21,
2022-08-21,
2022-08-21,
2022-08-21,
2022-08-21,
2022-08-21,
2022-08-21,
2022-08-21,
2022-08-21,
2022-08-22,
2022-08-22,
2022-08-22,
2022-08-22,
2022-08-22,
2022-08-22,
2022-08-22,
2022-08-22,
2022-08-22,
2022-08-22,
2022-08-22,
2022-08-22,
2022-08-22,
2022-08-22,
2022-08-22,
2022-08-23,
2022-08-23,
2022-08-23,
2022-08-23,
2022-08-23,
2022-08-23,
2022-08-23,
2022-08-23,
2022-08-23,
2022-08-23,
2022-08-23,
2022-08-23,
2022-08-23,
2022-08-24,
2022-08-24,
2022-08-24,
2022-08-24,
2022-08-24,
2022-08-24,
2022-08-24,
2022-08-24,
2022-08-24,
2022-08-24,
2022-08-25,
2022-08-25,
2022-08-25,
2022-08-25,
2022-08-25,
2022-08-25,
2022-08-25,
2022-08-25,
2022-08-25,
2022-08-25,
2022-08-25,
2022-08-25,
2022-08-25,
2022-08-25,
2022-08-25,
2022-08-25,
2022-08-26,
2022-08-26,
2022-08-26,
2022-08-26,
2022-08-26,
2022-08-26,
2022-08-26,
2022-08-26,
2022-08-26,
2022-08-26,
2022-08-26,
2022-08-26,
2022-08-26,
2022-08-27,
2022-08-27,
2022-08-27,
2022-08-27,
2022-08-27,
2022-08-27,
2022-08-27,
2022-08-27,
2022-08-27,
2022-08-28,
2022-08-28,
2022-08-28,
2022-08-28,
2022-08-28,
2022-08-28,
2022-08-28,
2022-08-28,
2022-08-28,
2022-08-29,
2022-08-29,
2022-08-29,
2022-08-29,
2022-08-29,
2022-08-29,
2022-08-29,
2022-08-29,
2022-08-29,
2022-08-29,
2022-08-29,
2022-08-30,
2022-08-30,
2022-08-30,
2022-08-30,
2022-08-30,
2022-08-30,
2022-08-30,
2022-08-30,
2022-08-30,
2022-08-30,
2022-08-30,
2022-08-30,
2022-08-30,
2022-08-31,
2022-08-31,
2022-08-31,
2022-08-31,
2022-08-31,
2022-08-31,
2022-08-31,
2022-08-31,
2022-08-31,
2022-08-31,
2022-09-01,
2022-09-01,
2022-09-01,
2022-09-01,
2022-09-01,
2022-09-01,
2022-09-01,
2022-09-01,
2022-09-02,
2022-09-02,
2022-09-02,
2022-09-02,
2022-09-02,
2022-09-02,
2022-09-02,
2022-09-02,
2022-09-02,
2022-09-03,
2022-09-03,
2022-09-03,
2022-09-03,
2022-09-03,
2022-09-03,
2022-09-03,
2022-09-03,
2022-09-03,
2022-09-03,
2022-09-03,
2022-09-03,
2022-09-03,
2022-09-04,
2022-09-04,
2022-09-04,
2022-09-04,
2022-09-04,
2022-09-04,
2022-09-04,
2022-09-04,
2022-09-04,
2022-09-04,
2022-09-04,
2022-09-04,
2022-09-04,
2022-09-04,
2022-09-04,
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-06,
2022-09-06,
2022-09-06,
2022-09-06,
2022-09-06,
2022-09-06,
2022-09-06,
2022-09-06,
2022-09-06,
2022-09-06,
2022-09-06,
2022-09-06,
2022-09-07,
2022-09-07,
2022-09-07,
2022-09-07,
2022-09-07,
2022-09-07,
2022-09-07,
2022-09-07,
2022-09-07,
2022-09-07,
2022-09-08,
2022-09-08,
2022-09-08,
2022-09-08,
2022-09-08,
2022-09-08,
2022-09-08,
2022-09-08,
2022-09-08,
2022-09-08,
2022-09-09,
2022-09-09,
2022-09-09,
2022-09-09,
2022-09-09,
2022-09-09,
2022-09-09,
2022-09-09,
2022-09-09,
2022-09-09,
2022-09-09,
2022-09-09,
2022-09-09,
2022-09-10,
2022-09-10,
2022-09-10,
2022-09-10,
2022-09-10,
2022-09-10,
2022-09-11,
2022-09-11,
2022-09-11,
2022-09-11,
2022-09-11,
2022-09-11,
2022-09-11,
2022-09-11,
2022-09-11,
2022-09-11,
2022-09-11,
2022-09-11,
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-13,
2022-09-13,
2022-09-13,
2022-09-13,
2022-09-13,
2022-09-13,
2022-09-13,
2022-09-13,
2022-09-13,
2022-09-13,
2022-09-13,
2022-09-13,
2022-09-14,
2022-09-14,
2022-09-14,
2022-09-14,
2022-09-14,
2022-09-14,
2022-09-14,
2022-09-14,
2022-09-14,
2022-09-15,
2022-09-15,
2022-09-15,
2022-09-15,
2022-09-15,
2022-09-15,
2022-09-15,
2022-09-16,
2022-09-16,
2022-09-16,
2022-09-16,
2022-09-16,
2022-09-16,
2022-09-16,
2022-09-16,
2022-09-16,
2022-09-16,
2022-09-17,
2022-09-17,
2022-09-17,
2022-09-17,
2022-09-17,
2022-09-17,
2022-09-17,
2022-09-17,
2022-09-17,
2022-09-17,
2022-09-17,
2022-09-17,
2022-09-17,
2022-09-18,
2022-09-18,
2022-09-18,
2022-09-18,
2022-09-18,
2022-09-18,
2022-09-18,
2022-09-18,
2022-09-18,
2022-09-18,
2022-09-18,
2022-09-18,
2022-09-19,
2022-09-19,
2022-09-19,
2022-09-19,
2022-09-19,
2022-09-19,
2022-09-19,
2022-09-19,
2022-09-19,
2022-09-19,
2022-09-20,
2022-09-20,
2022-09-20,
2022-09-20,
2022-09-20,
2022-09-20,
2022-09-20,
2022-09-20,
2022-09-20,
2022-09-21,
2022-09-21,
2022-09-21,
2022-09-21,
2022-09-21,
2022-09-21,
2022-09-21,
2022-09-21,
2022-09-21,
2022-09-21,
2022-09-21,
2022-09-21,
2022-09-21,
2022-09-22,
2022-09-22,
2022-09-22,
2022-09-22,
2022-09-22,
2022-09-22,
2022-09-22,
2022-09-22,
2022-09-22,
2022-09-22,
2022-09-23,
2022-09-23,
2022-09-23,
2022-09-23,
2022-09-23,
2022-09-23,
2022-09-23,
2022-09-23,
2022-09-23,
2022-09-23,
2022-09-23,
2022-09-23,
2022-09-23,
2022-09-23,
2022-09-24,
2022-09-24,
2022-09-24,
2022-09-24,
2022-09-24,
2022-09-24,
2022-09-24,
2022-09-24,
2022-09-24,
2022-09-24,
2022-09-25,
2022-09-25,
2022-09-25,
2022-09-25,
2022-09-25,
2022-09-25,
2022-09-25,
2022-09-25,
2022-09-25,
2022-09-25,
2022-09-25,
2022-09-25,
2022-09-25,
2022-09-26,
2022-09-26,
2022-09-26,
2022-09-26,
2022-09-26,
2022-09-26,
2022-09-26,
2022-09-26,
2022-09-26,
2022-09-27,
2022-09-27,
2022-09-27,
2022-09-27,
2022-09-27,
2022-09-27,
2022-09-27,
2022-09-27,
2022-09-27,
2022-09-27,
2022-09-27,
2022-09-27,
2022-09-27,
2022-09-28,
2022-09-28,
2022-09-28,
2022-09-28,
2022-09-28,
2022-09-28,
2022-09-28,
2022-09-28,
2022-09-28,
2022-09-28,
2022-09-28,
2022-09-28,
2022-09-29,
2022-09-29,
2022-09-29,
2022-09-29,
2022-09-29,
2022-09-29,
2022-09-29,
2022-09-30,
2022-09-30,
2022-09-30,
2022-09-30,
2022-09-30,
2022-09-30,
2022-10-01,
2022-10-01,
2022-10-01,
2022-10-01,
2022-10-01,
2022-10-01,
2022-10-01,
2022-10-01,
2022-10-02,
2022-10-02,
2022-10-02,
2022-10-02,
2022-10-02,
2022-10-02,
2022-10-02,
2022-10-02,
2022-10-02,
2022-10-03,
2022-10-03,
2022-10-03,
2022-10-03,
2022-10-03,
2022-10-03,
2022-10-03,
2022-10-03,
2022-10-03,
2022-10-04,
2022-10-04,
2022-10-04,
2022-10-04,
2022-10-04,
2022-10-04,
2022-10-04,
2022-10-04,
2022-10-04,
2022-10-04,
2022-10-04,
2022-10-05,
2022-10-05,
2022-10-05,
2022-10-05,
2022-10-05,
2022-10-05,
2022-10-05,
2022-10-05,
2022-10-05,
2022-10-05,
2022-10-05,
2022-10-05,
2022-10-06,
2022-10-06,
2022-10-06,
2022-10-06,
2022-10-06,
2022-10-06,
2022-10-06,
2022-10-06,
2022-10-06,
2022-10-07,
2022-10-07,
2022-10-07,
2022-10-07,
2022-10-07,
2022-10-08,
2022-10-08,
2022-10-08,
2022-10-08,
2022-10-08,
2022-10-08,
2022-10-08,
2022-10-08,
2022-10-09,
2022-10-09,
2022-10-09,
2022-10-09,
2022-10-09,
2022-10-09,
2022-10-09,
2022-10-09,
2022-10-09,
2022-10-09,
2022-10-10,
2022-10-10,
2022-10-10,
2022-10-10,
2022-10-10,
2022-10-10,
2022-10-11,
2022-10-11,
2022-10-11,
2022-10-11,
2022-10-11,
2022-10-11,
2022-10-11,
2022-10-12,
2022-10-12,
2022-10-12,
2022-10-12,
2022-10-12,
2022-10-12,
2022-10-12,
2022-10-12,
2022-10-12,
2022-10-12,
2022-10-12,
2022-10-13,
2022-10-13,
2022-10-13,
2022-10-13,
2022-10-13,
2022-10-13,
2022-10-13,
2022-10-13,
2022-10-13,
2022-10-13,
2022-10-13,
2022-10-14,
2022-10-14,
2022-10-14,
2022-10-14,
2022-10-14,
2022-10-14,
2022-10-14,
2022-10-14,
2022-10-14,
2022-10-14,
2022-10-15,
2022-10-15,
2022-10-15,
2022-10-15,
2022-10-15,
2022-10-15,
2022-10-15,
2022-10-15,
2022-10-15,
2022-10-15,
2022-10-15,
2022-10-16,
2022-10-16,
2022-10-16,
2022-10-16,
2022-10-16,
2022-10-16,
2022-10-16,
2022-10-16,
2022-10-16,
2022-10-16,
2022-10-16,
2022-10-16,
2022-10-17,
2022-10-17,
2022-10-17,
2022-10-17,
2022-10-17,
2022-10-17,
2022-10-17,
2022-10-17,
2022-10-17,
2022-10-17,
2022-10-17,
2022-10-17,
2022-10-18,
2022-10-18,
2022-10-18,
2022-10-18,
2022-10-18,
2022-10-18,
2022-10-18,
2022-10-18,
2022-10-18,
2022-10-18,
2022-10-19,
2022-10-19,
2022-10-19,
2022-10-19,
2022-10-19,
2022-10-19,
2022-10-19,
2022-10-19,
2022-10-19,
2022-10-19,
2022-10-20,
2022-10-20,
2022-10-20,
2022-10-20,
2022-10-20,
2022-10-20,
2022-10-20,
2022-10-20,
2022-10-20,
2022-10-20,
2022-10-20,
2022-10-20,
2022-10-21,
2022-10-21,
2022-10-21,
2022-10-21,
2022-10-21,
2022-10-21,
2022-10-21,
2022-10-21,
2022-10-22,
2022-10-22,
2022-10-22,
2022-10-22,
2022-10-22,
2022-10-22,
2022-10-22,
2022-10-22,
2022-10-22,
2022-10-22,
2022-10-22,
2022-10-23,
2022-10-23,
2022-10-23,
2022-10-23,
2022-10-23,
2022-10-23,
2022-10-23,
2022-10-23,
2022-10-23,
2022-10-23,
2022-10-23,
2022-10-23,
2022-10-23,
2022-10-23,
2022-10-23,
2022-10-23,
2022-10-24,
2022-10-24,
2022-10-24,
2022-10-24,
2022-10-24,
2022-10-24,
2022-10-24,
2022-10-24,
2022-10-24,
2022-10-24,
2022-10-24,
2022-10-24,
2022-10-25,
2022-10-25,
2022-10-25,
2022-10-25,
2022-10-25,
2022-10-25,
2022-10-25,
2022-10-25,
2022-10-25,
2022-10-25,
2022-10-26,
2022-10-26,
2022-10-26,
2022-10-26,
2022-10-26,
2022-10-26,
2022-10-26,
2022-10-26,
2022-10-26,
2022-10-26,
2022-10-26,
2022-10-26,
2022-10-26,
2022-10-27,
2022-10-27,
2022-10-27,
2022-10-27,
2022-10-27,
2022-10-27,
2022-10-27,
2022-10-27,
2022-10-27,
2022-10-27,
2022-10-27,
2022-10-28,
2022-10-28,
2022-10-28,
2022-10-28,
2022-10-28,
2022-10-28,
2022-10-28,
2022-10-28,
2022-10-28,
2022-10-28,
2022-10-29,
2022-10-29,
2022-10-29,
2022-10-29,
2022-10-29,
2022-10-29,
2022-10-29,
2022-10-29,
2022-10-29,
2022-10-29,
2022-10-29,
2022-10-30,
2022-10-30,
2022-10-30,
2022-10-30,
2022-10-30,
2022-10-30,
2022-10-30,
2022-10-30,
2022-10-30,
2022-10-30,
2022-10-30,
2022-10-30,
2022-10-30,
2022-10-30,
2022-10-30,
2022-10-31,
2022-10-31,
2022-10-31,
2022-10-31,
2022-10-31,
2022-10-31,
2022-10-31,
2022-10-31,
2022-10-31,
2022-10-31,
2022-10-31,
2022-10-31,
2022-10-31,
2022-11-01,
2022-11-01,
2022-11-01,
2022-11-01,
2022-11-01,
2022-11-01,
2022-11-01,
2022-11-01,
2022-11-01,
2022-11-01,
2022-11-01,
2022-11-02,
2022-11-02,
2022-11-02,
2022-11-02,
2022-11-02,
2022-11-02,
2022-11-02,
2022-11-02,
2022-11-03,
2022-11-03,
2022-11-03,
2022-11-03,
2022-11-03,
2022-11-03,
2022-11-03,
2022-11-03,
2022-11-03,
2022-11-03,
2022-11-03,
2022-11-03,
2022-11-04,
2022-11-04,
2022-11-04,
2022-11-04,
2022-11-04,
2022-11-04,
2022-11-04,
2022-11-04,
2022-11-04,
2022-11-05,
2022-11-05,
2022-11-05,
2022-11-05,
2022-11-05,
2022-11-05,
2022-11-05,
2022-11-05,
2022-11-05,
2022-11-05,
2022-11-05,
2022-11-06,
2022-11-06,
2022-11-06,
2022-11-06,
2022-11-06,
2022-11-06,
2022-11-06,
2022-11-06,
2022-11-06,
2022-11-06,
2022-11-06,
2022-11-07,
2022-11-07,
2022-11-07,
2022-11-07,
2022-11-07,
2022-11-07,
2022-11-08,
2022-11-08,
2022-11-08,
2022-11-08,
2022-11-08,
2022-11-08,
2022-11-08,
2022-11-08,
2022-11-08,
2022-11-09,
2022-11-09,
2022-11-09,
2022-11-09,
2022-11-09,
2022-11-09,
2022-11-09,
2022-11-09,
2022-11-09,
2022-11-09,
2022-11-09,
2022-11-09,
2022-11-10,
2022-11-10,
2022-11-10,
2022-11-10,
2022-11-10,
2022-11-10,
2022-11-10,
2022-11-10,
2022-11-10,
2022-11-10,
2022-11-10,
2022-11-10,
2022-11-10,
2022-11-11,
2022-11-11,
2022-11-11,
2022-11-11,
2022-11-11,
2022-11-11,
2022-11-11,
2022-11-11,
2022-11-11,
2022-11-11,
2022-11-11,
2022-11-11,
2022-11-11,
2022-11-12,
2022-11-12,
2022-11-12,
2022-11-12,
2022-11-12,
2022-11-12,
2022-11-12,
2022-11-12,
2022-11-13,
2022-11-13,
2022-11-13,
2022-11-13,
2022-11-13,
2022-11-13,
2022-11-14,
2022-11-14,
2022-11-14,
2022-11-14,
2022-11-14,
2022-11-14,
2022-11-14,
2022-11-14,
2022-11-14,
2022-11-14,
2022-11-14,
2022-11-15,
2022-11-15,
2022-11-15,
2022-11-15,
2022-11-15,
2022-11-15,
2022-11-15,
2022-11-15,
2022-11-15,
2022-11-15,
2022-11-15,
2022-11-15,
2022-11-16,
2022-11-16,
2022-11-16,
2022-11-16,
2022-11-16,
2022-11-16,
2022-11-16,
2022-11-16,
2022-11-16,
2022-11-16,
2022-11-16,
2022-11-16,
2022-11-17,
2022-11-17,
2022-11-17,
2022-11-17,
2022-11-17,
2022-11-17,
2022-11-17,
2022-11-17,
2022-11-17,
2022-11-17,
2022-11-17,
2022-11-17,
2022-11-17,
2022-11-17,
2022-11-18,
2022-11-18,
2022-11-18,
2022-11-18,
2022-11-18,
2022-11-18,
2022-11-18,
2022-11-18,
2022-11-18,
2022-11-18,
2022-11-18,
2022-11-18,
2022-11-18,
2022-11-18,
2022-11-18,
2022-11-19,
2022-11-19,
2022-11-19,
2022-11-19,
2022-11-19,
2022-11-19,
2022-11-19,
2022-11-19,
2022-11-19,
2022-11-20,
2022-11-20,
2022-11-20,
2022-11-20,
2022-11-20,
2022-11-20,
2022-11-20,
2022-11-21,
2022-11-21,
2022-11-21,
2022-11-21,
2022-11-21,
2022-11-21,
2022-11-21,
2022-11-21,
2022-11-21,
2022-11-21,
2022-11-21,
2022-11-21,
2022-11-21,
2022-11-21,
2022-11-22,
2022-11-22,
2022-11-22,
2022-11-22,
2022-11-22,
2022-11-22,
2022-11-22,
2022-11-22,
2022-11-22,
2022-11-22,
2022-11-22,
2022-11-22,
2022-11-23,
2022-11-23,
2022-11-23,
2022-11-23,
2022-11-23,
2022-11-23,
2022-11-23,
2022-11-23,
2022-11-23,
2022-11-23,
2022-11-23,
2022-11-23,
2022-11-23,
2022-11-24,
2022-11-24,
2022-11-24,
2022-11-24,
2022-11-24,
2022-11-24,
2022-11-24,
2022-11-24,
2022-11-24,
2022-11-25,
2022-11-25,
2022-11-25,
2022-11-25,
2022-11-25,
2022-11-25,
2022-11-25,
2022-11-25,
2022-11-25,
2022-11-25,
2022-11-26,
2022-11-26,
2022-11-26,
2022-11-26,
2022-11-26,
2022-11-26,
2022-11-26,
2022-11-26,
2022-11-26,
2022-11-26,
2022-11-26,
2022-11-26,
2022-11-27,
2022-11-27,
2022-11-27,
2022-11-27,
2022-11-27,
2022-11-27,
2022-11-27,
2022-11-27,
2022-11-27,
2022-11-27,
2022-11-27,
2022-11-27,
2022-11-28,
2022-11-28,
2022-11-28,
2022-11-28,
2022-11-28,
2022-11-28,
2022-11-28,
2022-11-28,
2022-11-28,
2022-11-28,
2022-11-28,
2022-11-28,
2022-11-28,
2022-11-29,
